Direct Normal Irradiance ,Power
0,0
0,0
0,0
0,0
0,0
0,0
6,3053
215,147247
424,362648
536,531758
607,646211
634,696193
636,692851
600,626577
536,511293
427,343037
194,121397
0,446
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
23,10605
281,175013
471,386213
584,558160
659,680610
689,735795
690,734191
660,676928
595,561213
496,396987
303,183555
15,8226
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
59,33686
307,216314
461,414198
575,577598
642,685642
663,731242
652,720957
615,657191
536,533219
433,368934
305,190901
55,27480
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,2068
141,80444
333,255467
474,434903
586,584186
647,677156
661,714830
637,695301
567,613728
458,477092
359,321822
258,166091
52,28043
0,0
0,0
0,0
0,0
0,0
0,0
