ts,Year,GHI,Temperature,WindSpeed,P_AC_kW
2018-01-01 00:30:00+00:00,2018,0.0,13.71,2.14,0.0
2018-01-01 01:30:00+00:00,2018,91.80000000000001,13.62,2.07,9.222914962350002
2018-01-01 02:30:00+00:00,2018,273.96000000000004,15.17,1.45,26.71572684195
2018-01-01 03:30:00+00:00,2018,441.31000000000006,18.7,1.17,41.46027663910187
2018-01-01 04:30:00+00:00,2018,438.4,21.11,1.38,40.7726931904
2018-01-01 05:30:00+00:00,2018,490.9,22.73,1.79,45.0032709383875
2018-01-01 06:30:00+00:00,2018,582.76,23.73,2.0,52.50558900690999
2018-01-01 07:30:00+00:00,2018,535.81,24.38,1.93,48.453864617681866
2018-01-01 08:30:00+00:00,2018,415.85,24.69,2.0,38.18833873344687
2018-01-01 09:30:00+00:00,2018,224.85000000000002,24.67,1.86,21.197018825371877
2018-01-01 10:30:00+00:00,2018,110.85,24.25,1.72,10.629882150421873
2018-01-01 11:30:00+00:00,2018,0.0,23.32,1.52,0.0
2018-01-01 12:30:00+00:00,2018,0.0,21.67,2.14,0.0
2018-01-01 13:30:00+00:00,2018,0.0,20.09,2.07,0.0
2018-01-01 14:30:00+00:00,2018,0.0,19.08,1.72,0.0
2018-01-01 15:30:00+00:00,2018,0.0,17.9,1.72,0.0
2018-01-01 16:30:00+00:00,2018,0.0,16.99,1.93,0.0
2018-01-01 17:30:00+00:00,2018,0.0,16.37,2.14,0.0
2018-01-01 18:30:00+00:00,2018,0.0,16.02,2.07,0.0
2018-01-01 19:30:00+00:00,2018,0.0,15.86,2.14,0.0
2018-01-01 20:30:00+00:00,2018,0.0,15.75,2.28,0.0
2018-01-01 21:30:00+00:00,2018,0.0,15.69,2.55,0.0
2018-01-01 22:30:00+00:00,2018,0.0,15.62,2.69,0.0
2018-01-01 23:30:00+00:00,2018,0.0,15.44,2.62,0.0
2018-01-02 00:30:00+00:00,2018,0.0,15.07,2.55,0.0
2018-01-02 01:30:00+00:00,2018,90.2,14.76,2.48,9.02211223595
2018-01-02 02:30:00+00:00,2018,278.61,15.88,2.34,27.072097518631878
2018-01-02 03:30:00+00:00,2018,460.65999999999997,18.61,2.69,43.1815812680275
2018-01-02 04:30:00+00:00,2018,610.71,21.02,2.76,55.48077459934689
2018-01-02 05:30:00+00:00,2018,701.26,22.9,3.03,62.36138534326751
2018-01-02 06:30:00+00:00,2018,695.71,23.89,2.48,61.63639688224187
2018-01-02 07:30:00+00:00,2018,632.06,24.25,2.55,56.4168135491675
2018-01-02 08:30:00+00:00,2018,517.21,24.64,2.34,46.83953798111688
2018-01-02 09:30:00+00:00,2018,337.91,24.68,2.41,31.367628192006876
2018-01-02 10:30:00+00:00,2018,143.65,24.3,2.41,13.712302657421873
2018-01-02 11:30:00+00:00,2018,0.0,23.16,1.72,0.0
2018-01-02 12:30:00+00:00,2018,0.0,21.49,2.0,0.0
2018-01-02 13:30:00+00:00,2018,0.0,19.94,1.93,0.0
2018-01-02 14:30:00+00:00,2018,0.0,18.66,1.93,0.0
2018-01-02 15:30:00+00:00,2018,0.0,17.58,2.0,0.0
2018-01-02 16:30:00+00:00,2018,0.0,16.63,2.14,0.0
2018-01-02 17:30:00+00:00,2018,0.0,15.87,2.21,0.0
2018-01-02 18:30:00+00:00,2018,0.0,15.26,2.34,0.0
2018-01-02 19:30:00+00:00,2018,0.0,15.23,2.76,0.0
2018-01-02 20:30:00+00:00,2018,0.0,14.82,2.83,0.0
2018-01-02 21:30:00+00:00,2018,0.0,14.35,2.9,0.0
2018-01-02 22:30:00+00:00,2018,0.0,13.91,2.83,0.0
2018-01-02 23:30:00+00:00,2018,0.0,13.53,2.76,0.0
2018-01-03 00:30:00+00:00,2018,0.0,13.23,2.55,0.0
2018-01-03 01:30:00+00:00,2018,97.0,12.83,2.41,9.770143294750001
2018-01-03 02:30:00+00:00,2018,292.61,14.2,2.07,28.580573173401877
2018-01-03 03:30:00+00:00,2018,479.55999999999995,16.89,2.62,45.173888169070004
2018-01-03 04:30:00+00:00,2018,621.61,19.07,2.76,56.87856424184688
2018-01-03 05:30:00+00:00,2018,702.51,20.83,2.9,63.05380441293186
2018-01-03 06:30:00+00:00,2018,712.76,22.18,3.1,63.48877073411
2018-01-03 07:30:00+00:00,2018,652.01,22.73,3.45,58.43567622720686
2018-01-03 08:30:00+00:00,2018,526.71,23.11,3.31,47.964482357986874
2018-01-03 09:30:00+00:00,2018,350.90999999999997,23.09,3.03,32.74362652794187
2018-01-03 10:30:00+00:00,2018,152.6,22.68,2.62,14.649963073549998
2018-01-03 11:30:00+00:00,2018,0.0,21.57,1.72,0.0
2018-01-03 12:30:00+00:00,2018,0.0,20.01,1.93,0.0
2018-01-03 13:30:00+00:00,2018,0.0,18.48,1.79,0.0
2018-01-03 14:30:00+00:00,2018,0.0,16.83,1.59,0.0
2018-01-03 15:30:00+00:00,2018,0.0,15.44,1.86,0.0
2018-01-03 16:30:00+00:00,2018,0.0,14.74,2.48,0.0
2018-01-03 17:30:00+00:00,2018,0.0,14.42,2.69,0.0
2018-01-03 18:30:00+00:00,2018,0.0,13.96,2.55,0.0
2018-01-03 19:30:00+00:00,2018,0.0,13.43,2.48,0.0
2018-01-03 20:30:00+00:00,2018,0.0,12.86,2.34,0.0
2018-01-03 21:30:00+00:00,2018,0.0,12.33,2.28,0.0
2018-01-03 22:30:00+00:00,2018,0.0,11.86,2.28,0.0
2018-01-03 23:30:00+00:00,2018,0.0,11.44,2.21,0.0
2018-01-04 00:30:00+00:00,2018,0.0,11.03,2.14,0.0
2018-01-04 01:30:00+00:00,2018,98.0,10.62,2.07,9.957853450999998
2018-01-04 02:30:00+00:00,2018,296.46000000000004,12.16,1.45,29.188476135427504
2018-01-04 03:30:00+00:00,2018,487.61,15.81,1.72,46.096758052236865
2018-01-04 04:30:00+00:00,2018,633.31,18.29,2.21,58.05605085364187
2018-01-04 05:30:00+00:00,2018,716.16,20.12,2.9,64.36165727999999
2018-01-04 06:30:00+00:00,2018,710.91,21.26,2.97,63.607181516161866
2018-01-04 07:30:00+00:00,2018,655.06,21.33,3.24,59.0572129461475
2018-01-04 08:30:00+00:00,2018,533.16,21.72,3.31,48.80998693035
2018-01-04 09:30:00+00:00,2018,349.36,21.73,3.38,32.79945695356
2018-01-04 10:30:00+00:00,2018,155.2,21.28,3.1,14.982951817599997
2018-01-04 11:30:00+00:00,2018,0.0,20.26,2.0,0.0
2018-01-04 12:30:00+00:00,2018,0.0,18.63,1.93,0.0
2018-01-04 13:30:00+00:00,2018,0.0,17.39,1.79,0.0
2018-01-04 14:30:00+00:00,2018,0.0,16.13,1.59,0.0
2018-01-04 15:30:00+00:00,2018,0.0,15.11,1.52,0.0
2018-01-04 16:30:00+00:00,2018,0.0,14.8,1.72,0.0
2018-01-04 17:30:00+00:00,2018,0.0,14.18,2.14,0.0
2018-01-04 18:30:00+00:00,2018,0.0,13.91,2.34,0.0
2018-01-04 19:30:00+00:00,2018,0.0,13.11,2.41,0.0
2018-01-04 20:30:00+00:00,2018,0.0,12.87,2.55,0.0
2018-01-04 21:30:00+00:00,2018,0.0,12.64,2.55,0.0
2018-01-04 22:30:00+00:00,2018,0.0,12.3,2.41,0.0
2018-01-04 23:30:00+00:00,2018,0.0,11.9,2.28,0.0
2018-01-05 00:30:00+00:00,2018,0.0,11.56,2.21,0.0
2018-01-05 01:30:00+00:00,2018,95.80000000000001,11.29,2.21,9.710843663950001
2018-01-05 02:30:00+00:00,2018,292.40999999999997,12.65,1.79,28.746430939276866
2018-01-05 03:30:00+00:00,2018,483.46000000000004,16.06,2.07,45.6807362063275
2018-01-05 04:30:00+00:00,2018,628.76,18.72,2.34,57.56522345915
2018-01-05 05:30:00+00:00,2018,711.31,20.5,2.83,63.859586978651876
2018-01-05 06:30:00+00:00,2018,700.06,21.54,2.69,62.65324540540749
2018-01-05 07:30:00+00:00,2018,643.26,21.76,3.1,57.9773274991275
2018-01-05 08:30:00+00:00,2018,513.16,22.14,2.9,47.021874939069995
2018-01-05 09:30:00+00:00,2018,351.61,22.24,2.76,32.92756947821688
2018-01-05 10:30:00+00:00,2018,158.25,21.87,2.55,15.233214897046874
2018-01-05 11:30:00+00:00,2018,9.1,20.77,1.79,0.8973277733875001
2018-01-05 12:30:00+00:00,2018,0.0,19.03,2.07,0.0
2018-01-05 13:30:00+00:00,2018,0.0,17.56,2.0,0.0
2018-01-05 14:30:00+00:00,2018,0.0,16.36,1.72,0.0
2018-01-05 15:30:00+00:00,2018,0.0,15.1,1.52,0.0
2018-01-05 16:30:00+00:00,2018,0.0,14.21,1.31,0.0
2018-01-05 17:30:00+00:00,2018,0.0,14.0,1.1,0.0
2018-01-05 18:30:00+00:00,2018,0.0,13.35,1.17,0.0
2018-01-05 19:30:00+00:00,2018,0.0,11.79,2.0,0.0
2018-01-05 20:30:00+00:00,2018,0.0,11.58,2.21,0.0
2018-01-05 21:30:00+00:00,2018,0.0,11.58,2.41,0.0
2018-01-05 22:30:00+00:00,2018,0.0,11.39,2.34,0.0
2018-01-05 23:30:00+00:00,2018,0.0,11.04,2.28,0.0
2018-01-06 00:30:00+00:00,2018,0.0,10.62,2.14,0.0
2018-01-06 01:30:00+00:00,2018,97.30000000000001,10.22,2.07,9.903449059787501
2018-01-06 02:30:00+00:00,2018,296.90999999999997,11.5,1.52,29.310914987251866
2018-01-06 03:30:00+00:00,2018,489.51,15.05,1.86,46.41609978577688
2018-01-06 04:30:00+00:00,2018,636.76,17.48,2.14,58.55447389291
2018-01-06 05:30:00+00:00,2018,721.26,19.27,2.41,65.02293099438751
2018-01-06 06:30:00+00:00,2018,735.01,20.57,2.55,65.74457613592186
2018-01-06 07:30:00+00:00,2018,676.11,21.31,2.83,60.77930097411188
2018-01-06 08:30:00+00:00,2018,550.31,21.82,2.97,50.23746851019688
2018-01-06 09:30:00+00:00,2018,371.51,21.9,2.97,34.74850178712688
2018-01-06 10:30:00+00:00,2018,165.75,21.42,2.83,15.969728622046874
2018-01-06 11:30:00+00:00,2018,9.55,20.09,1.93,0.944292067871875
2018-01-06 12:30:00+00:00,2018,0.0,18.22,2.14,0.0
2018-01-06 13:30:00+00:00,2018,0.0,16.6,1.86,0.0
2018-01-06 14:30:00+00:00,2018,0.0,14.8,1.52,0.0
