time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,ts
20200101:0030,0.0,0.0,0.0,-4.4,12.45,1.45,0.0,2020-01-01 00:30:00+00:00
20200101:0130,54.6,42.1,0.0,8.0,12.02,1.38,0.0,2020-01-01 01:30:00+00:00
20200101:0230,204.86,83.85,0.0,19.57,13.77,1.1,0.0,2020-01-01 02:30:00+00:00
20200101:0330,364.26,108.4,0.0,29.85,18.2,1.66,0.0,2020-01-01 03:30:00+00:00
20200101:0430,464.71,113.65,0.0,38.03,20.84,1.86,0.0,2020-01-01 04:30:00+00:00
20200101:0530,552.01,130.35,0.0,43.0,22.61,2.0,0.0,2020-01-01 05:30:00+00:00
20200101:0630,536.61,120.15,0.0,43.72,23.57,1.79,0.0,2020-01-01 06:30:00+00:00
20200101:0730,484.81,121.0,0.0,39.99,24.13,2.0,0.0,2020-01-01 07:30:00+00:00
20200101:0830,397.81,110.8,0.0,32.69,24.47,1.86,0.0,2020-01-01 08:30:00+00:00
20200101:0930,241.61,86.55,0.0,22.97,24.56,1.66,0.0,2020-01-01 09:30:00+00:00
20200101:1030,83.3,55.15,0.0,11.73,24.27,1.86,0.0,2020-01-01 10:30:00+00:00
20200101:1130,0.0,0.0,0.0,-0.44,23.2,1.59,0.0,2020-01-01 11:30:00+00:00
20200101:1230,0.0,0.0,0.0,0.0,21.65,1.93,0.0,2020-01-01 12:30:00+00:00
20200101:1330,0.0,0.0,0.0,0.0,20.1,1.79,0.0,2020-01-01 13:30:00+00:00
20200101:1430,0.0,0.0,0.0,0.0,18.76,1.72,0.0,2020-01-01 14:30:00+00:00
20200101:1530,0.0,0.0,0.0,0.0,17.7,1.79,0.0,2020-01-01 15:30:00+00:00
20200101:1630,0.0,0.0,0.0,0.0,16.9,2.0,0.0,2020-01-01 16:30:00+00:00
20200101:1730,0.0,0.0,0.0,0.0,16.44,2.28,0.0,2020-01-01 17:30:00+00:00
20200101:1830,0.0,0.0,0.0,0.0,16.25,2.41,0.0,2020-01-01 18:30:00+00:00
20200101:1930,0.0,0.0,0.0,0.0,16.38,2.28,0.0,2020-01-01 19:30:00+00:00
20200101:2030,0.0,0.0,0.0,0.0,16.14,2.21,0.0,2020-01-01 20:30:00+00:00
20200101:2130,0.0,0.0,0.0,0.0,15.83,2.07,0.0,2020-01-01 21:30:00+00:00
20200101:2230,0.0,0.0,0.0,0.0,15.79,1.86,0.0,2020-01-01 22:30:00+00:00
20200101:2330,0.0,0.0,0.0,0.0,15.51,1.86,0.0,2020-01-01 23:30:00+00:00
20200102:0030,0.0,0.0,0.0,-4.46,15.32,1.86,0.0,2020-01-02 00:30:00+00:00
20200102:0130,37.65,47.1,0.0,7.95,15.24,1.86,0.0,2020-01-02 01:30:00+00:00
20200102:0230,162.0,99.45,0.0,19.54,16.29,1.72,0.0,2020-01-02 02:30:00+00:00
20200102:0330,327.86,120.25,0.0,29.84,18.9,2.14,0.0,2020-01-02 03:30:00+00:00
20200102:0430,462.71,124.3,0.0,38.05,21.35,2.21,0.0,2020-01-02 04:30:00+00:00
20200102:0530,505.51,138.2,0.0,43.07,23.39,2.07,0.0,2020-01-02 05:30:00+00:00
20200102:0630,510.81,150.7,0.0,43.82,24.69,1.93,0.0,2020-01-02 06:30:00+00:00
20200102:0730,360.86,135.1,0.0,40.11,25.27,1.38,0.0,2020-01-02 07:30:00+00:00
20200102:0830,285.36,123.7,0.0,32.82,25.53,1.31,0.0,2020-01-02 08:30:00+00:00
20200102:0930,195.81,100.5,0.0,23.1,25.55,1.24,0.0,2020-01-02 09:30:00+00:00
20200102:1030,77.8,53.9,0.0,11.87,25.36,1.17,0.0,2020-01-02 10:30:00+00:00
20200102:1130,0.0,0.0,0.0,-0.31,24.56,0.69,0.0,2020-01-02 11:30:00+00:00
20200102:1230,0.0,0.0,0.0,0.0,22.8,0.83,0.0,2020-01-02 12:30:00+00:00
20200102:1330,0.0,0.0,0.0,0.0,20.78,1.03,0.0,2020-01-02 13:30:00+00:00
20200102:1430,0.0,0.0,0.0,0.0,19.8,1.1,0.0,2020-01-02 14:30:00+00:00
20200102:1530,0.0,0.0,0.0,0.0,19.63,0.83,0.0,2020-01-02 15:30:00+00:00
20200102:1630,0.0,0.0,0.0,0.0,17.96,1.59,0.0,2020-01-02 16:30:00+00:00
20200102:1730,0.0,0.0,0.0,0.0,18.43,1.86,0.0,2020-01-02 17:30:00+00:00
20200102:1830,0.0,0.0,0.0,0.0,18.43,2.41,0.0,2020-01-02 18:30:00+00:00
20200102:1930,0.0,0.0,0.0,0.0,18.52,2.34,0.0,2020-01-02 19:30:00+00:00
20200102:2030,0.0,0.0,0.0,0.0,18.14,2.34,0.0,2020-01-02 20:30:00+00:00
20200102:2130,0.0,0.0,0.0,0.0,18.06,2.41,0.0,2020-01-02 21:30:00+00:00
20200102:2230,0.0,0.0,0.0,0.0,17.86,2.55,0.0,2020-01-02 22:30:00+00:00
20200102:2330,0.0,0.0,0.0,0.0,17.62,2.83,0.0,2020-01-02 23:30:00+00:00
20200103:0030,0.0,0.0,0.0,-4.52,17.66,3.03,0.0,2020-01-03 00:30:00+00:00
20200103:0130,18.55,33.65,0.0,7.9,17.39,3.03,0.0,2020-01-03 01:30:00+00:00
20200103:0230,37.65,90.95,0.0,19.52,17.7,2.83,0.0,2020-01-03 02:30:00+00:00
20200103:0330,113.4,119.9,0.0,29.84,18.63,3.03,0.0,2020-01-03 03:30:00+00:00
20200103:0430,55.45,197.15,0.0,38.09,19.99,3.66,0.0,2020-01-03 04:30:00+00:00
20200103:0530,21.15,126.8,0.0,43.13,20.75,3.17,0.0,2020-01-03 05:30:00+00:00
20200103:0630,51.75,117.0,0.0,43.92,20.32,2.28,0.0,2020-01-03 06:30:00+00:00
20200103:0730,66.45,119.55,0.0,40.24,19.98,1.79,0.0,2020-01-03 07:30:00+00:00
20200103:0830,10.95,119.45,0.0,32.96,20.01,1.86,0.0,2020-01-03 08:30:00+00:00
20200103:0930,63.15,65.0,0.0,23.24,20.06,1.86,0.0,2020-01-03 09:30:00+00:00
