time,DNI,DHI,Reflected,H_sun,Temperature,WindSpeed,Int,ts,GHI,T_cell,P_DC_kW,P_AC_kW
20200101:0030,0.0,0.0,0.0,-4.4,12.45,1.45,0.0,2020-01-01 00:30:00+00:00,0.0,12.45,0.0,0.0
20200101:0130,54.6,42.1,0.0,8.0,12.02,1.38,0.0,2020-01-01 01:30:00+00:00,96.7,15.041875,10.074439288750002,9.7722061100875
20200101:0230,204.86,83.85,0.0,19.57,13.77,1.1,0.0,2020-01-01 02:30:00+00:00,288.71000000000004,22.7921875,29.1387153696875,28.264553908596874
20200101:0330,364.26,108.4,0.0,29.85,18.2,1.66,0.0,2020-01-01 03:30:00+00:00,472.65999999999997,32.970625,45.683693842749996,44.313183027467495
20200101:0430,464.71,113.65,0.0,38.03,20.84,1.86,0.0,2020-01-01 04:30:00+00:00,578.36,38.91375,54.456194291,52.82250846227
20200101:0530,552.01,130.35,0.0,43.0,22.61,2.0,0.0,2020-01-01 05:30:00+00:00,682.36,43.93375,62.80975386699998,60.92546125098998
20200101:0630,536.61,120.15,0.0,43.72,23.57,1.79,0.0,2020-01-01 06:30:00+00:00,656.76,44.09375,60.409195275,58.59691941675
20200101:0730,484.81,121.0,0.0,39.99,24.13,2.0,0.0,2020-01-01 07:30:00+00:00,605.81,43.061562499999994,55.9854124251875,54.30585005243187
20200101:0830,397.81,110.8,0.0,32.69,24.47,1.86,0.0,2020-01-01 08:30:00+00:00,508.61,40.3640625,47.578987352187504,46.151617731621876
20200101:0930,241.61,86.55,0.0,22.97,24.56,1.66,0.0,2020-01-01 09:30:00+00:00,328.16,34.815,31.463226032,30.519329251040002
20200101:1030,83.3,55.15,0.0,11.73,24.27,1.86,0.0,2020-01-01 10:30:00+00:00,138.45,28.596562499999997,13.6358634871875,13.226787582571875
20200101:1130,0.0,0.0,0.0,-0.44,23.2,1.59,0.0,2020-01-01 11:30:00+00:00,0.0,23.2,0.0,0.0
20200101:1230,0.0,0.0,0.0,0.0,21.65,1.93,0.0,2020-01-01 12:30:00+00:00,0.0,21.65,0.0,0.0
20200101:1330,0.0,0.0,0.0,0.0,20.1,1.79,0.0,2020-01-01 13:30:00+00:00,0.0,20.1,0.0,0.0
20200101:1430,0.0,0.0,0.0,0.0,18.76,1.72,0.0,2020-01-01 14:30:00+00:00,0.0,18.76,0.0,0.0
20200101:1530,0.0,0.0,0.0,0.0,17.7,1.79,0.0,2020-01-01 15:30:00+00:00,0.0,17.7,0.0,0.0
20200101:1630,0.0,0.0,0.0,0.0,16.9,2.0,0.0,2020-01-01 16:30:00+00:00,0.0,16.9,0.0,0.0
20200101:1730,0.0,0.0,0.0,0.0,16.44,2.28,0.0,2020-01-01 17:30:00+00:00,0.0,16.44,0.0,0.0
20200101:1830,0.0,0.0,0.0,0.0,16.25,2.41,0.0,2020-01-01 18:30:00+00:00,0.0,16.25,0.0,0.0
20200101:1930,0.0,0.0,0.0,0.0,16.38,2.28,0.0,2020-01-01 19:30:00+00:00,0.0,16.38,0.0,0.0
20200101:2030,0.0,0.0,0.0,0.0,16.14,2.21,0.0,2020-01-01 20:30:00+00:00,0.0,16.14,0.0,0.0
20200101:2130,0.0,0.0,0.0,0.0,15.83,2.07,0.0,2020-01-01 21:30:00+00:00,0.0,15.83,0.0,0.0
20200101:2230,0.0,0.0,0.0,0.0,15.79,1.86,0.0,2020-01-01 22:30:00+00:00,0.0,15.79,0.0,0.0
20200101:2330,0.0,0.0,0.0,0.0,15.51,1.86,0.0,2020-01-01 23:30:00+00:00,0.0,15.51,0.0,0.0
20200102:0030,0.0,0.0,0.0,-4.46,15.32,1.86,0.0,2020-01-02 00:30:00+00:00,0.0,15.32,0.0,0.0
20200102:0130,37.65,47.1,0.0,7.95,15.24,1.86,0.0,2020-01-02 01:30:00+00:00,84.75,17.888437500000002,8.728136067187501,8.466291985171877
20200102:0230,162.0,99.45,0.0,19.54,16.29,1.72,0.0,2020-01-02 02:30:00+00:00,261.45,24.4603125,26.204262544687502,25.418134668346877
20200102:0330,327.86,120.25,0.0,29.84,18.9,2.14,0.0,2020-01-02 03:30:00+00:00,448.11,32.903437499999995,43.323524061187506,42.02381833935188
20200102:0430,462.71,124.3,0.0,38.05,21.35,2.21,0.0,2020-01-02 04:30:00+00:00,587.01,39.6940625,55.0782641161875,53.42591619270187
20200102:0530,505.51,138.2,0.0,43.07,23.39,2.07,0.0,2020-01-02 05:30:00+00:00,643.71,43.5059375,59.3677680481875,57.586735006741876
20200102:0630,510.81,150.7,0.0,43.82,24.69,1.93,0.0,2020-01-02 06:30:00+00:00,661.51,45.362187500000005,60.49368792568751,58.67887728791688
20200102:0730,360.86,135.1,0.0,40.11,25.27,1.38,0.0,2020-01-02 07:30:00+00:00,495.96000000000004,40.76875,46.31131891500001,44.92197934755001
20200102:0830,285.36,123.7,0.0,32.82,25.53,1.31,0.0,2020-01-02 08:30:00+00:00,409.06,38.313125,38.61873589675,37.460173819847505
20200102:0930,195.81,100.5,0.0,23.1,25.55,1.24,0.0,2020-01-02 09:30:00+00:00,296.31,34.8096875,28.4101824286875,27.557876955826874
20200102:1030,77.8,53.9,0.0,11.87,25.36,1.17,0.0,2020-01-02 10:30:00+00:00,131.7,29.475625,12.922435278749997,12.534762220387497
20200102:1130,0.0,0.0,0.0,-0.31,24.56,0.69,0.0,2020-01-02 11:30:00+00:00,0.0,24.56,0.0,0.0
20200102:1230,0.0,0.0,0.0,0.0,22.8,0.83,0.0,2020-01-02 12:30:00+00:00,0.0,22.8,0.0,0.0
20200102:1330,0.0,0.0,0.0,0.0,20.78,1.03,0.0,2020-01-02 13:30:00+00:00,0.0,20.78,0.0,0.0
20200102:1430,0.0,0.0,0.0,0.0,19.8,1.1,0.0,2020-01-02 14:30:00+00:00,0.0,19.8,0.0,0.0
20200102:1530,0.0,0.0,0.0,0.0,19.63,0.83,0.0,2020-01-02 15:30:00+00:00,0.0,19.63,0.0,0.0
20200102:1630,0.0,0.0,0.0,0.0,17.96,1.59,0.0,2020-01-02 16:30:00+00:00,0.0,17.96,0.0,0.0
20200102:1730,0.0,0.0,0.0,0.0,18.43,1.86,0.0,2020-01-02 17:30:00+00:00,0.0,18.43,0.0,0.0
20200102:1830,0.0,0.0,0.0,0.0,18.43,2.41,0.0,2020-01-02 18:30:00+00:00,0.0,18.43,0.0,0.0
