ts,inverter_id,panel_id,panel_rated_kw,GHI,P_DC_kW,rated_kw,status,AmbientTemp_C,P_AC_kW,P_DC_sum_kW,Energy_increment_kWh,Total_energy_kWh,P_net_kW,Site_Load_kW,Battery_power_kW,Battery_SOC_kWh
2025-11-24T09:32:36.022000+00:00,INV-01,PV-01,50.0,947.5,47.8976,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-01,PV-02,50.0,756.49,36.7297,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-02,PV-03,50.0,870.95,43.5427,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-02,PV-04,50.0,823.37,41.2334,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-03,PV-05,50.0,815.5,42.3192,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-03,PV-06,50.0,856.79,43.2543,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-04,PV-07,50.0,812.71,40.0606,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-04,PV-08,50.0,739.55,36.7012,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-05,PV-09,50.0,736.69,37.4839,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-05,PV-10,50.0,856.17,43.6538,,,,,,,,,,,
2025-11-24T09:32:36.022000+00:00,INV-01,,,852.0,,100.0,Running,34.13,63.533,84.627,0.088241,29.975883,,,,
2025-11-24T09:32:36.022000+00:00,INV-02,,,847.16,,100.0,Running,34.11,67.665,84.776,0.09398,30.052041,,,,
2025-11-24T09:32:36.022000+00:00,INV-03,,,836.14,,100.0,Running,33.4,61.462,85.574,0.085364,30.247753,,,,
2025-11-24T09:32:36.022000+00:00,INV-04,,,776.13,,100.0,Running,30.54,59.81,76.762,0.08307,30.327114,,,,
2025-11-24T09:32:36.022000+00:00,INV-05,,,796.43,,100.0,Running,35.76,59.257,81.138,0.082301,30.199923,,,,
2025-11-24T09:32:36.022000+00:00,PLANT_SUMMARY,,,821.57,,500.0,Running,33.59,311.727,,0.432956,150.802714,0.0,300.0,11.727,241.575
2025-11-24T09:32:36.022000+00:00,BATTERY,,,,,250.0,Charging,,,,,,,,11.727,241.575
