ts,source,severity,desc,message
2025-12-01T00:40:54,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:40:54,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:40:54,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:40:54,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:40:54,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:40:59,INV-01,High,,Low output 0.526 kW vs expected 20.55 kW
2025-12-01T00:40:59,INV-02,High,,Low output 0.533 kW vs expected 20.55 kW
2025-12-01T00:40:59,INV-03,High,,Low output 0.548 kW vs expected 20.55 kW
2025-12-01T00:40:59,INV-04,High,,Low output 0.536 kW vs expected 20.55 kW
2025-12-01T00:40:59,INV-05,High,,Low output 0.592 kW vs expected 20.55 kW
2025-12-01T00:41:04,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:04,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:04,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:04,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:04,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:09,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:09,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:09,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:09,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:09,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:14,INV-01,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:14,INV-02,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:14,INV-03,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:14,INV-04,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:14,INV-05,High,,Low output 0.0 kW vs expected 20.0 kW
2025-12-01T00:41:19,INV-01,High,,Low output 1.107 kW vs expected 20.93 kW
