ts,inverter_id,panel_id,GHI,P_DC_kW,rated_kw,status,AmbientTemp_C,P_AC_kW,Energy_increment_kWh,Total_energy_kWh,transformer_loss_kw,transformer_eff,battery_soc,battery_voltage,battery_temp_c,battery_power_kw
2026-01-05T15:25:39,INV-01,"PV-01,PV-02",596.2,56.836,100.0,Running,29.95,53.573,0.074407,4.106144,,,,,,
2026-01-05T15:25:39,INV-02,"PV-03,PV-04",596.2,55.347,100.0,Running,29.81,51.239,0.071165,4.131035,,,,,,
2026-01-05T15:25:39,INV-03,"PV-05,PV-06",596.2,58.184,100.0,Running,31.28,55.637,0.077274,4.114152,,,,,,
2026-01-05T15:25:39,INV-04,"PV-07,PV-08",596.2,60.985,100.0,Running,24.69,56.503,0.078477,4.180562,,,,,,
2026-01-05T15:25:39,INV-05,"PV-09,PV-10",596.2,59.418,100.0,Running,27.79,53.738,0.074637,4.178498,,,,,,
2026-01-05T15:25:39,PLANT_SUMMARY,,596.2,290.77,500.0,Running,27.79,270.69,0.375959,20.710391,7.221,0.9733,49.86,564.76,25.01,0.0
2026-01-05T15:25:44,INV-01,"PV-01,PV-02",548.63,53.996,100.0,Running,29.07,50.839,0.070609,4.176753,,,,,,
2026-01-05T15:25:44,INV-02,"PV-03,PV-04",548.63,54.073,100.0,Running,25.32,52.132,0.072406,4.20344,,,,,,
2026-01-05T15:25:44,INV-03,"PV-05,PV-06",548.63,53.935,100.0,Running,29.96,49.188,0.068317,4.182469,,,,,,
2026-01-05T15:25:44,INV-04,"PV-07,PV-08",548.63,50.2,100.0,Running,25.73,47.325,0.065729,4.246291,,,,,,
2026-01-05T15:25:44,INV-05,"PV-09,PV-10",548.63,54.577,100.0,Running,28.25,50.848,0.070622,4.24912,,,,,,
2026-01-05T15:25:44,PLANT_SUMMARY,,548.63,266.781,500.0,Running,28.25,250.331,0.347682,21.058074,7.044,0.9719,49.86,564.76,25.03,0.0
2026-01-05T15:25:49,INV-01,"PV-01,PV-02",547.58,51.977,100.0,Running,28.1,47.373,0.065796,4.24255,,,,,,
2026-01-05T15:25:49,INV-02,"PV-03,PV-04",547.58,54.163,100.0,Running,27.67,51.278,0.071219,4.27466,,,,,,
2026-01-05T15:25:49,INV-03,"PV-05,PV-06",547.58,54.302,100.0,Running,26.04,50.496,0.070133,4.252602,,,,,,
2026-01-05T15:25:49,INV-04,"PV-07,PV-08",547.58,51.372,100.0,Running,29.55,50.602,0.070281,4.316572,,,,,,
2026-01-05T15:25:49,INV-05,"PV-09,PV-10",547.58,53.159,100.0,Running,28.37,50.548,0.070205,4.319325,,,,,,
2026-01-05T15:25:49,PLANT_SUMMARY,,547.58,264.973,500.0,Running,28.37,250.297,0.347635,21.405708,7.044,0.9719,49.86,564.76,25.06,0.0
2026-01-05T15:25:54,INV-01,"PV-01,PV-02",629.71,59.073,100.0,Running,27.63,54.773,0.076074,4.318624,,,,,,
2026-01-05T15:25:54,INV-02,"PV-03,PV-04",629.71,61.074,100.0,Running,27.39,56.683,0.078727,4.353387,,,,,,
2026-01-05T15:25:54,INV-03,"PV-05,PV-06",629.71,66.472,100.0,Running,25.91,64.457,0.089524,4.342126,,,,,,
2026-01-05T15:25:54,INV-04,"PV-07,PV-08",629.71,59.514,100.0,Running,25.97,56.701,0.078751,4.395323,,,,,,
2026-01-05T15:25:54,INV-05,"PV-09,PV-10",629.71,63.564,100.0,Running,27.01,59.447,0.082565,4.40189,,,,,,
2026-01-05T15:25:54,PLANT_SUMMARY,,629.71,309.697,500.0,Running,27.01,292.061,0.405641,21.811349,7.422,0.9746,49.86,564.76,25.07,0.0
2026-01-05T15:25:59,INV-01,"PV-01,PV-02",594.94,61.888,100.0,Running,31.26,58.625,0.081424,4.400048,,,,,,
2026-01-05T15:25:59,INV-02,"PV-03,PV-04",594.94,57.766,100.0,Running,29.04,53.772,0.074684,4.428071,,,,,,
2026-01-05T15:25:59,INV-03,"PV-05,PV-06",594.94,59.164,100.0,Running,28.48,54.436,0.075605,4.417731,,,,,,
2026-01-05T15:25:59,INV-04,"PV-07,PV-08",594.94,56.728,100.0,Running,29.18,52.514,0.072936,4.468259,,,,,,
2026-01-05T15:25:59,INV-05,"PV-09,PV-10",594.94,58.603,100.0,Running,26.84,54.793,0.076102,4.477991,,,,,,
2026-01-05T15:25:59,PLANT_SUMMARY,,594.94,294.149,500.0,Running,26.84,274.14,0.38075,22.192099,7.253,0.9735,49.86,564.76,25.08,0.0
2026-01-05T15:26:04,INV-01,"PV-01,PV-02",584.69,55.08,100.0,Running,30.33,49.928,0.069344,4.469392,,,,,,
2026-01-05T15:26:04,INV-02,"PV-03,PV-04",584.69,57.762,100.0,Running,26.96,55.805,0.077507,4.505577,,,,,,
2026-01-05T15:26:04,INV-03,"PV-05,PV-06",584.69,58.192,100.0,Running,32.65,52.682,0.07317,4.490901,,,,,,
2026-01-05T15:26:04,INV-04,"PV-07,PV-08",584.69,57.617,100.0,Running,28.66,54.125,0.075174,4.543433,,,,,,
2026-01-05T15:26:04,INV-05,"PV-09,PV-10",584.69,58.59,100.0,Running,30.11,54.175,0.075243,4.553235,,,,,,
2026-01-05T15:26:04,PLANT_SUMMARY,,584.69,287.241,500.0,Running,30.11,266.715,0.370438,22.562537,7.186,0.9731,49.86,564.76,25.08,0.0
2026-01-05T15:26:09,INV-01,"PV-01,PV-02",468.85,47.142,100.0,Running,30.7,43.467,0.06037,4.529762,,,,,,
2026-01-05T15:26:09,INV-02,"PV-03,PV-04",468.85,44.537,100.0,Running,24.43,43.418,0.060303,4.56588,,,,,,
2026-01-05T15:26:09,INV-03,"PV-05,PV-06",468.85,47.249,100.0,Running,28.28,44.275,0.061494,4.552394,,,,,,
2026-01-05T15:26:09,INV-04,"PV-07,PV-08",468.85,45.38,100.0,Running,28.22,41.849,0.058123,4.601556,,,,,,
2026-01-05T15:26:09,INV-05,"PV-09,PV-10",468.85,44.715,100.0,Running,26.54,42.396,0.058884,4.612118,,,,,,
2026-01-05T15:26:09,PLANT_SUMMARY,,468.85,229.023,500.0,Running,26.54,250.0,0.347222,22.861711,7.042,0.9718,49.83,564.72,25.04,-34.595
2026-01-05T15:26:14,INV-01,"PV-01,PV-02",569.66,58.28,100.0,Running,29.14,54.762,0.076058,4.60582,,,,,,
2026-01-05T15:26:14,INV-02,"PV-03,PV-04",569.66,54.775,100.0,Running,28.77,51.108,0.070984,4.636864,,,,,,
2026-01-05T15:26:14,INV-03,"PV-05,PV-06",569.66,57.142,100.0,Running,25.52,54.332,0.075462,4.627856,,,,,,
2026-01-05T15:26:14,INV-04,"PV-07,PV-08",569.66,55.151,100.0,Running,29.67,50.835,0.070604,4.672161,,,,,,
2026-01-05T15:26:14,INV-05,"PV-09,PV-10",569.66,55.206,100.0,Running,27.29,51.723,0.071837,4.683955,,,,,,
2026-01-05T15:26:14,PLANT_SUMMARY,,569.66,280.554,500.0,Running,27.29,262.76,0.364945,23.226656,7.151,0.9728,49.83,564.72,25.04,0.0
2026-01-05T15:26:19,INV-01,"PV-01,PV-02",574.24,57.83,100.0,Running,27.43,54.057,0.075079,4.680899,,,,,,
2026-01-05T15:26:19,INV-02,"PV-03,PV-04",574.24,56.448,100.0,Running,24.26,54.505,0.075702,4.712566,,,,,,
2026-01-05T15:26:19,INV-03,"PV-05,PV-06",574.24,56.588,100.0,Running,29.37,54.721,0.076001,4.703857,,,,,,
2026-01-05T15:26:19,INV-04,"PV-07,PV-08",574.24,58.808,100.0,Running,28.94,54.236,0.075327,4.747488,,,,,,
2026-01-05T15:26:19,INV-05,"PV-09,PV-10",574.24,55.617,100.0,Running,27.61,53.563,0.074394,4.758349,,,,,,
2026-01-05T15:26:19,PLANT_SUMMARY,,574.24,285.291,500.0,Running,27.61,271.082,0.376503,23.603159,7.225,0.9733,49.83,564.72,25.04,0.0
2026-01-05T15:26:24,INV-01,"PV-01,PV-02",609.02,61.262,100.0,Running,25.24,59.638,0.08283,4.76373,,,,,,
2026-01-05T15:26:24,INV-02,"PV-03,PV-04",609.02,60.753,100.0,Running,30.97,56.427,0.07837,4.790936,,,,,,
2026-01-05T15:26:24,INV-03,"PV-05,PV-06",609.02,60.642,100.0,Running,24.27,57.299,0.079582,4.783439,,,,,,
2026-01-05T15:26:24,INV-04,"PV-07,PV-08",609.02,60.334,100.0,Running,22.66,57.466,0.079814,4.827302,,,,,,
